/Users/traychen/Desktop/Master 1-1/DL Music/DLMusic_2023Fall/HW1/artist20/mp3s-32k/aerosmith/Aerosmith/06-Write_Me_a_Letter.mp3, aerosmith, 06-Write_Me_a_Letter
/Users/traychen/Desktop/Master 1-1/DL Music/DLMusic_2023Fall/HW1/artist20/mp3s-32k/aerosmith/Aerosmith/01-Make_It.mp3, aerosmith, 01-Make_It
/Users/traychen/Desktop/Master 1-1/DL Music/DLMusic_2023Fall/HW1/artist20/mp3s-32k/aerosmith/Aerosmith/07-Movin_Out.mp3, aerosmith, 07-Movin_Out
/Users/traychen/Desktop/Master 1-1/DL Music/DLMusic_2023Fall/HW1/artist20/mp3s-32k/aerosmith/Aerosmith/03-Dream_On.mp3, aerosmith, 03-Dream_On
/Users/traychen/Desktop/Master 1-1/DL Music/DLMusic_2023Fall/HW1/artist20/mp3s-32k/aerosmith/Aerosmith/02-Somebody.mp3, aerosmith, 02-Somebody
/Users/traychen/Desktop/Master 1-1/DL Music/DLMusic_2023Fall/HW1/artist20/mp3s-32k/aerosmith/Aerosmith/04-One_Way_Street.mp3, aerosmith, 04-One_Way_Street
/Users/traychen/Desktop/Master 1-1/DL Music/DLMusic_2023Fall/HW1/artist20/mp3s-32k/aerosmith/Aerosmith/08-Walking_the_Dog.mp3, aerosmith, 08-Walking_the_Dog
/Users/traychen/Desktop/Master 1-1/DL Music/DLMusic_2023Fall/HW1/artist20/mp3s-32k/aerosmith/Aerosmith/05-Mama_Kin.mp3, aerosmith, 05-Mama_Kin
/Users/traychen/Desktop/Master 1-1/DL Music/DLMusic_2023Fall/HW1/artist20/mp3s-32k/aerosmith/Draw_the_Line/01-Draw_the_Line.mp3, aerosmith, 01-Draw_the_Line
/Users/traychen/Desktop/Master 1-1/DL Music/DLMusic_2023Fall/HW1/artist20/mp3s-32k/aerosmith/Draw_the_Line/09-Milk_Cow_Blues.mp3, aerosmith, 09-Milk_Cow_Blues
/Users/traychen/Desktop/Master 1-1/DL Music/DLMusic_2023Fall/HW1/artist20/mp3s-32k/aerosmith/Draw_the_Line/07-The_Hand_That_Feeds.mp3, aerosmith, 07-The_Hand_That_Feeds
/Users/traychen/Desktop/Master 1-1/DL Music/DLMusic_2023Fall/HW1/artist20/mp3s-32k/aerosmith/Draw_the_Line/02-I_Wanna_Know_Why.mp3, aerosmith, 02-I_Wanna_Know_Why
/Users/traychen/Desktop/Master 1-1/DL Music/DLMusic_2023Fall/HW1/artist20/mp3s-32k/aerosmith/Draw_the_Line/03-Critical_Mass.mp3, aerosmith, 03-Critical_Mass
/Users/traychen/Desktop/Master 1-1/DL Music/DLMusic_2023Fall/HW1/artist20/mp3s-32k/aerosmith/Draw_the_Line/04-Get_It_Up.mp3, aerosmith, 04-Get_It_Up
/Users/traychen/Desktop/Master 1-1/DL Music/DLMusic_2023Fall/HW1/artist20/mp3s-32k/aerosmith/Draw_the_Line/08-Sight_for_Sore_Eyes.mp3, aerosmith, 08-Sight_for_Sore_Eyes
/Users/traychen/Desktop/Master 1-1/DL Music/DLMusic_2023Fall/HW1/artist20/mp3s-32k/aerosmith/Draw_the_Line/06-Kings_and_Queens.mp3, aerosmith, 06-Kings_and_Queens
/Users/traychen/Desktop/Master 1-1/DL Music/DLMusic_2023Fall/HW1/artist20/mp3s-32k/aerosmith/Draw_the_Line/05-Bright_Light_Fright.mp3, aerosmith, 05-Bright_Light_Fright
/Users/traychen/Desktop/Master 1-1/DL Music/DLMusic_2023Fall/HW1/artist20/mp3s-32k/aerosmith/Get_Your_Wings/01-Same_Old_Song_and_Dance.mp3, aerosmith, 01-Same_Old_Song_and_Dance
/Users/traychen/Desktop/Master 1-1/DL Music/DLMusic_2023Fall/HW1/artist20/mp3s-32k/aerosmith/Get_Your_Wings/03-Spaced.mp3, aerosmith, 03-Spaced
/Users/traychen/Desktop/Master 1-1/DL Music/DLMusic_2023Fall/HW1/artist20/mp3s-32k/aerosmith/Get_Your_Wings/04-Woman_Of_The_World.mp3, aerosmith, 04-Woman_Of_The_World
/Users/traychen/Desktop/Master 1-1/DL Music/DLMusic_2023Fall/HW1/artist20/mp3s-32k/aerosmith/Get_Your_Wings/08-Pandora_s_Box.mp3, aerosmith, 08-Pandora_s_Box
/Users/traychen/Desktop/Master 1-1/DL Music/DLMusic_2023Fall/HW1/artist20/mp3s-32k/aerosmith/Get_Your_Wings/07-Seasons_Of_Wither.mp3, aerosmith, 07-Seasons_Of_Wither
/Users/traychen/Desktop/Master 1-1/DL Music/DLMusic_2023Fall/HW1/artist20/mp3s-32k/aerosmith/Get_Your_Wings/06-Train_Kept_A_Rollin_.mp3, aerosmith, 06-Train_Kept_A_Rollin_
/Users/traychen/Desktop/Master 1-1/DL Music/DLMusic_2023Fall/HW1/artist20/mp3s-32k/aerosmith/Get_Your_Wings/05-SOS.mp3, aerosmith, 05-SOS
/Users/traychen/Desktop/Master 1-1/DL Music/DLMusic_2023Fall/HW1/artist20/mp3s-32k/aerosmith/Get_Your_Wings/02-Lord_Of_The_Thighs.mp3, aerosmith, 02-Lord_Of_The_Thighs
/Users/traychen/Desktop/Master 1-1/DL Music/DLMusic_2023Fall/HW1/artist20/mp3s-32k/aerosmith/Pump/03-Going_Down-Love_In_An_Elevator.mp3, aerosmith, 03-Going_Down-Love_In_An_Elevator
/Users/traychen/Desktop/Master 1-1/DL Music/DLMusic_2023Fall/HW1/artist20/mp3s-32k/aerosmith/Pump/10-What_It_Takes.mp3, aerosmith, 10-What_It_Takes
/Users/traychen/Desktop/Master 1-1/DL Music/DLMusic_2023Fall/HW1/artist20/mp3s-32k/aerosmith/Pump/08-Don_t_Get_Mad_Get_Even.mp3, aerosmith, 08-Don_t_Get_Mad_Get_Even
/Users/traychen/Desktop/Master 1-1/DL Music/DLMusic_2023Fall/HW1/artist20/mp3s-32k/aerosmith/Pump/06-Dulcimer_Stomp-The_Other_Side.mp3, aerosmith, 06-Dulcimer_Stomp-The_Other_Side
/Users/traychen/Desktop/Master 1-1/DL Music/DLMusic_2023Fall/HW1/artist20/mp3s-32k/aerosmith/Pump/07-My_Girl.mp3, aerosmith, 07-My_Girl
/Users/traychen/Desktop/Master 1-1/DL Music/DLMusic_2023Fall/HW1/artist20/mp3s-32k/aerosmith/Pump/01-Young_Lust.mp3, aerosmith, 01-Young_Lust
/Users/traychen/Desktop/Master 1-1/DL Music/DLMusic_2023Fall/HW1/artist20/mp3s-32k/aerosmith/Pump/05-Water_Song-Janie_s_Got_A_Gun.mp3, aerosmith, 05-Water_Song-Janie_s_Got_A_Gun
/Users/traychen/Desktop/Master 1-1/DL Music/DLMusic_2023Fall/HW1/artist20/mp3s-32k/aerosmith/Pump/04-Monkey_On_My_Back.mp3, aerosmith, 04-Monkey_On_My_Back
/Users/traychen/Desktop/Master 1-1/DL Music/DLMusic_2023Fall/HW1/artist20/mp3s-32k/aerosmith/Pump/09-Hoodoo-Voodoo_Medicine_Man.mp3, aerosmith, 09-Hoodoo-Voodoo_Medicine_Man
/Users/traychen/Desktop/Master 1-1/DL Music/DLMusic_2023Fall/HW1/artist20/mp3s-32k/aerosmith/Pump/02-F_I_N_E_.mp3, aerosmith, 02-F_I_N_E_
/Users/traychen/Desktop/Master 1-1/DL Music/DLMusic_2023Fall/HW1/artist20/mp3s-32k/beatles/A_Hard_Day_s_Night/13-I_ll_Be_Back.mp3, beatles, 13-I_ll_Be_Back
/Users/traychen/Desktop/Master 1-1/DL Music/DLMusic_2023Fall/HW1/artist20/mp3s-32k/beatles/A_Hard_Day_s_Night/08-Any_Time_At_All.mp3, beatles, 08-Any_Time_At_All
/Users/traychen/Desktop/Master 1-1/DL Music/DLMusic_2023Fall/HW1/artist20/mp3s-32k/beatles/A_Hard_Day_s_Night/02-I_Should_Have_Known_Better.mp3, beatles, 02-I_Should_Have_Known_Better
/Users/traychen/Desktop/Master 1-1/DL Music/DLMusic_2023Fall/HW1/artist20/mp3s-32k/beatles/A_Hard_Day_s_Night/01-A_Hard_Day_s_Night.mp3, beatles, 01-A_Hard_Day_s_Night
/Users/traychen/Desktop/Master 1-1/DL Music/DLMusic_2023Fall/HW1/artist20/mp3s-32k/beatles/A_Hard_Day_s_Night/05-And_I_Love_Her.mp3, beatles, 05-And_I_Love_Her
/Users/traychen/Desktop/Master 1-1/DL Music/DLMusic_2023Fall/HW1/artist20/mp3s-32k/beatles/A_Hard_Day_s_Night/04-I_m_Happy_Just_To_Dance_With_You.mp3, beatles, 04-I_m_Happy_Just_To_Dance_With_You
/Users/traychen/Desktop/Master 1-1/DL Music/DLMusic_2023Fall/HW1/artist20/mp3s-32k/beatles/A_Hard_Day_s_Night/09-I_ll_Cry_Instead.mp3, beatles, 09-I_ll_Cry_Instead
